gbifID	ownerInstitutionCode	year	collectionCode	accessRights	type	basisOfRecord	catalogNumber	continent	country	stateProvince	county	decimalLatitude	decimalLongitude	higherGeography	higherGeographyID	locality	maximumElevationInMeters	minimumElevationInMeters	lifeStage	sex	preparations	higherClassification	kingdom	phylum	family	class	order	genus	specificEpithet	scientificName	vernacularName	identifiedBy
665886487	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167927	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
812646126		1961	Mammal		PhysicalObject	PreservedSpecimen	Mammal-09256		HONG KONG	New Territories		22.31667	114.18333	;HONG KONG;New Territories;;;;;		Kowloon				male	skeleton	Mammalia:Pholidota:Manidae:Manis	Animalia	Chordata	Manidae	Mammalia	Pholidota	Manis	pentadactyla	Manis pentadactyla		
477292986		1861	Fish			PreservedSpecimen	61189	Pacific Ocean	China	Hong Kong						Hong Kong (received on 29 Oct 1861)							Animalia		Belontiidae			Macropodus		Macropodus		Cards
958754410		2013	EBIRD			HumanObservation	OBS203468017		Hong Kong	Hong Kong		22.4957	114.048			Mai Po							Animalia	Chordata	Scolopacidae	Aves	Charadriiformes	Calidris	pygmea	Calidris pygmea	Spoon-billed Sandpiper	
665886505	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167960	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665886506	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167961	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
271766434		1994	EBIRD			HumanObservation	OBS93951771		Hong Kong	Hong Kong		22.4821	114.032			Hong Kong: Mai Po							Animalia	Chordata	Scolopacidae	Aves	Charadriiformes	Calidris	pygmea	Calidris pygmea	Spoon-billed Sandpiper	
665886504	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167959	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665877113	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167899	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Male	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665886485	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167925	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Niviventer	fulvescens	Niviventer fulvescens		
665886507	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167937	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	sikkimensis	Rattus sikkimensis		
665886491	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167945	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	3	3		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	tanezumi	Rattus tanezumi		
665877143	FMNH	1996	Mammals	http://fieldmuseum.org/about/copyright-information	PhysicalObject	PreservedSpecimen	167936	Asia	China	Hong Kong	Lantau	22.23	113.90417	"Asia, China, Hong Kong, Lantau: Shui Hau"		Shui Hau	30	30		Female	"skin,skull"	Animalia Chordata Mammalia Rodentia Muridae	Animalia	Chordata	Muridae	Mammalia	Rodentia	Rattus	sikkimensis	Rattus sikkimensis		
